episode,seed,score,steps,avg_decision_time_ms,max_decision_time_ms,success,peak_memory_mb
1,124,2170,1158,2174.606114162381,3358.355500000471,0,2.130784034729004
2,125,1830,1079,2036.5135444856146,2859.144300004118,0,2.415994644165039
3,126,1480,1082,2046.5818962108613,2898.1459999995423,0,1.6463184356689453
4,127,2480,686,1832.1878508745679,2707.6783000011346,0,1.520528793334961
5,128,1050,824,1888.1314904125973,2696.8726999984938,0,1.6942358016967773
6,129,1320,1172,2163.643015273038,3291.525000000547,0,1.8131284713745117
7,130,1560,745,1925.552230469817,2851.2522999953944,0,1.6059179306030273
8,131,1440,1111,2088.8989459945037,2918.5086999932537,0,1.5069494247436523
9,132,970,560,1705.776780357311,2518.6675999866566,0,1.3622169494628906
10,133,570,488,1640.4012641393565,2484.900399998878,0,0.6649398803710938
